词条,创建年,摘要
榴莲男,2019,摘要： 榴莲男的来源和意思外边带刺，生人勿近，其实味道很足，有人讨厌有人爱榴莲男的使用例句榴莲男的英文翻译
要啥自行车,2019,摘要： 东北话，也说成“要什么自行车”，用来奉劝他人现在已经很好了，要知足常乐，不要再提出更过分的要求了。爆红自2001年CCTV春节联欢晚会赵本山的小品《卖拐》
的别离以及那些经受沧桑的相逢，不论时光如何飞转，那些落花一样,2020,摘要： 慈母手中线，游子身上衣。多少年过去了，我一直穿着母亲手工制作的鞋垫，从春花到秋实，从寒来至暑往，走完四季的轮回；从儿时母亲手工做的棉鞋到现在自己买的运动鞋，鞋垫陪我走完了懵懂的青春。去年的一天，母亲打电
猪猪女孩?,2019,摘要： 该词的常常用于自称或者是自嘲，没&nbsp;有明确的贬义的意思，可能自嘲自己&nbsp;比较懒散懒猪、或者是比较爱吃有很&nbsp;胖、或者是笨笨呆呆的意思。属于比&nbsp;较可爱的卖萌的说法，和另外
江澄与狗对愁眠,2019,摘要： 江澄与狗对愁眠的来源和意思指网友用来调侃小说《魔道祖师》中的江澄孤身一人的句子。
康康,2020,摘要： 康康的来源和意思康康就是看看康康的使用例句康康的英文翻译
憨批,2019,摘要： 憨批的来源和意思憨憨和傻批的结合，也就是傻子的意思，形容这个人很楞。憨是陕北一代人的方言，类似的词还有铁憨憨，憨这个词听起来就有一种可爱、老实、憨厚的意思，所以说相对于傻批来说，语气更轻一点。例句：中餐
种他种过的思追,2019,摘要： 种下一个小思追，来年就能长出一群小朋友陪你玩啦，于是小思追就乖乖地被种在萝卜地里。后来思追被蓝二公子带到云深不知处，整日待在兔子堆里。蓝思追：他们俩在这方面还是很像的。
无愿无悔,2019,摘要： 不许愿望，就不会后悔。因为你的愿望让老天知道了，他就知道该怎么搞你了。
磕死我了,2019,摘要： 磕死我了的来源和意思指“我喜欢的人/cp太好太甜了，他（们）的行为举止让我激动/开心/兴奋得不行”。“磕”则是指“喜欢并关注”。该词也经常被缩写为kswl。该词最常见的用法是CP粉（幻想或喜欢某两个明星
臭弟弟/臭妹妹,2020,摘要： 臭弟弟/臭妹妹的来源和意思臭妹妹一词在不同语境下有不同意思，在网络语境中是一种撩妹的称呼，是有一点暧昧撒娇语气在的。臭妹妹这个词最早出自药水哥直播，因抖音用户“冲浪男孩”，一张嘴就是让“臭妹妹抱抱”等话
les,2014,摘要： les电影les小说...les文化兴起啦
神马,2015,摘要： 神马都是浮云
蛇精病,2014,摘要： 又一个网络新词诞生了，但是不同于常理，许多词的意思都需求操心去了解，而这个词正所谓顾名思义，看到这三个词，基本上就可以大约晓得它的意思了，蛇精病=神经病，这样了解，对吗？
黑色恐怖,2019,摘要： 黑色恐怖的来源和意思是指近期在香港地区一些暴徒做出的一系列违法、暴力行为以及由此引起的社会恐慌。因为这些参与暴乱的人全部穿着黑色衣服，因此被叫做“黑衣人”，这些社会行为以及恐慌也就被称之为“黑色恐怖”。
衣品好,2019,摘要： 衣品好是形容某个人很会穿衣搭配的意思。有时候判断一个人衣品好不好并不在于穿的多么时髦，也不在于穿的衣服是不是最新款，是不是大牌，而在于她是不是很会穿，这里特别强调搭配。因为搭配得好，所以给人一种这身衣服
紫腚能行,2019,摘要： 紫腚能行的来源和意思东北话中“指定能行”的谐音说法，也是一种玄学祈福方式的简称。腚在北方方言中是屁股的意思，该句因此被拆解为“穿着紫色内裤就一定能行”。所以在东北地区会有人在重要场合（比如高考）时穿条紫
我是梅西我慌nmb,2018,摘要： 自2018年世界杯，世界杯D组第三轮阿根廷2-1战胜尼日利亚后，网友们制作的相关梅西表情包，我是梅西我慌nmb也因此而来
粉丝,2014,摘要： 粉丝是什么意思粉丝，是英语“fans”的谐音。“fan”是“运动、电影等的爱好者” 的意思。所以，“film fan ”是“影迷”的意思。也可以理解为“××迷”或者“××追星族”一类意思。“fans”是
铁皮,2019,摘要： 铁皮的来源和意思在美妆界指将某样粉状产品用到见底，在取粉时已经能看到粉槽最底部的铁皮。该词一般用来形容极为好用的产品。粉状彩妆（如眼影、腮红、粉饼等）产品虽然看起来只有小小一盒，但因为日常用量一般不会太
美年达,2019,摘要： 美年达的来源和意思指的是电视剧《庆余年》中角色王启年和角色高达的cp名字。王启年在剧中常常走在编造与围观主角范闲的八卦一线，而单纯又搞笑的高达就跟着一起吃瓜，两个人一唱一和十分欠揍有趣。而有一个饮料的名
无法直视,2017,摘要： 霸气侧漏，简直无法直视啊
太空堡垒,2019,摘要： 指太过空闲无事可做而去看上海堡垒的人
大尾巴狼,2019,摘要： 大尾巴狼的来源和意思现在也指宠物狗哈士奇，因为狼跟哈士奇长得很像。大尾巴狼是指尾巴很大的狼，可能看起来比较壮硕凶狠？所以有些人逞强逞能就会被说装大尾巴狼？电视剧《庆余年》里的王启年夸范闲是“狐狸”，就是
你妈买菜超级加倍,2019,摘要： 你妈买菜超级加倍的来源和意思即“你妈出门买菜时，菜价必定上涨好几倍”，属于相对不太激烈的骂人用语。常用于抽象文化相关的语境中。可能融合自“买菜必涨价，拉屎超级加倍”的辱骂连句。超级加倍来自游戏欢乐斗地主
太监,2014,摘要： 太监这个词我们并不陌生，但是单纯的汉纸和网虫们的理解肯定不在一个点上，下面含义网为您介绍太监的更多含义。
大王好短,2020,摘要： 大王好短的来源和意思用于感叹国漫大王不高兴每集时长过短。不止是大王不高兴，大部分国漫的通病特点就是时长短，一集大概7分钟的样子。出去OP和ED，正片大概就5分钟的样子。相比日漫的24分钟显得太短。（然而
稀饭,2017,摘要： 俺稀饭你
约字,2019,"摘要： 指网络小说作者向同行发出的邀请，一起写章节，一起码字，一般是以一千字起步。如果有人问：""一起约字吗？1k起步。""那么可以证明ta是一名网络写手。"
爆表,2014,"摘要： 爆表的来源和意思爆表是什么意思现在大气污染严重,老是听说""pm2.5爆表"",看来""爆表""这词要广泛流行了哦.&nbsp; 爆表的""表""通常指的是仪表,因此爆表字面上的意思就是""数值超过了仪"
舔狗,2019,摘要： 舔狗的来源和意思舔狗一词最早来源于百度贴吧，第一次出现的时间是在2016年，经过2年的时间，慢慢演变成大家所熟练使用的的一个用于吐槽的词语，甚至还有舔狗吧，都在晒舔狗的图片。那么舔狗究竟是什么意思呢，下
冻容,2014,摘要： 美国《哈泼时尚》杂志创造了一个新名词“Cyronbabies”（台湾媒体生动地将其翻译成“冻容世代”），意思是二十岁上下的年轻女生，为了把美丽放进“冰箱”，将自己的年轻美貌永久保存，早早开始抗老历程。
fw,2019,摘要： 废物的意思
女汉子奶奶,2014,摘要： 女汉子是对那些外表强悍或者是内心强大的女生的称呼，那这位”女汉子奶奶“做了什么事情，让媒体、网民们给一位老奶奶冠上了”女汉子”的称号呢？
圈圈叉叉的寓意,2021,摘要： 使用例句如下↓↓
好好读术,2019,摘要： 好好读术的来源和意思也称为好好毒树，都是好好读书一词的谐音。是影视剧巴啦啦小魔仙中游乐王子的一段口误发音，因为其魔性搞笑而走红网络。现在多用在表示好好学习的语境中，也用来调侃别人要多去学习。可以单独使用
就很bad,2018,摘要： “就很bad”是网络上一个比较常见的流行语，少的可怜的英文词汇量让我见着bad都很有亲切感，那么到底作为网络语开始流行的“就很bad”是什么梗，流行语百科带你解读
爷青回,2020,摘要： 爷青回的来源和意思表示爷的青春又回来了，爷表示的是自己，将自己的身份地位抬高一个档次，像我是你大爷一样，通常用来形容那些知名的人、经典的动画、影视、游戏剧等重新复出或者是回归。爷青回最早是在lpl圈子里
萌,2015,"摘要： 这女孩太萌了,我喜欢."
肥宅快乐,2018,摘要： 肥宅快乐常用来形容那些会给肥宅群体带来快乐，并且可以让肥宅保持真正的肥宅必备的属性“肥”的东西。比如说好喝又很容易发胖的可乐，被称之为肥宅快乐水
巨c,2019,摘要： 巨c的来源和意思指流量明星蔡徐坤。是稍微带有嘲讽意味的黑称。来源于兔区。来源于蔡徐坤在其参与的选秀节目《偶像练习生》中，以C位（即画面最多，站位最靠前居中的位置）出演节目主题曲EIEI，镜头比其他人都多
橙色软件,2021,摘要： 橙色软件指的是淘宝，因为淘宝是橙色的，所以被称为橙色软件
Gap,2019,摘要： Gap&nbsp;Year，间隔年的简称，通常被留学生用来委婉的描述毕业后找不到工作，而不得不赋闲在家啃老这种状态。当然也有的人不止Gap&nbsp;Year，而是直接Gap了Life
取关,2020,摘要： 取关的来源和意思取消关注的缩写形式，现在很多自媒体平台流行，比如抖音，头条，微博，直播等之类的博主发布内容，喜欢的人会关注，以便下次博主更新内容的时候还能再看到。因此很多粉丝对博主表示不满抗议的时候（如
VTuber,2019,摘要： VTuber的来源和意思由 Virtual YouTuber 缩写而成的新词汇。用来指代在某视频网站上，用原创的虚拟人物人设为形象，以特定的配音演员（中之人，一般会隐藏身份，也有使用电子合成声的存在）进
驴友,2014,"摘要： 我爱旅行,但更爱我的驴友."
塑料花姐妹,2017,摘要： 好姐妹的感情就像塑料花，特别假，但是却永不凋谢。
蜜橘女,2019,摘要： 蜜橘女的来源和意思外在黄，内在黄，实则又黄又甜蜜橘女的使用例句蜜橘女的英文翻译
呕泥酱,2020,摘要： 呕泥酱的来源和意思是指武汉火神山和雷神山医院施工现场的水泥车。就是背上背着一个长罐子的那个车。显而易见，就是因为它是往外吐泥的车车，就利用欧尼酱(日语哥哥的空耳)，将它称为：呕泥酱！它也叫送灰宗。呕泥酱
马赛克,2015,摘要： 什么部位被打马赛克最多？生殖器部位哦
我要买可乐,2019,摘要： 我要买可乐的来源和意思表面上看，就是想喝可乐的意思，其实大有深度，破有内涵，买可乐是英文make love的空耳，有时候听起来挺像的，英文单词make love的中文意思为做爱，也就是说但一个人跟你说“
中国锦鲤,2018,摘要： 中国锦鲤的来源和意思在2018年的国庆期间，支付宝公司发布了一条微博抽奖信息：奖品丰厚，抽中的人为“中国锦鲤”，吸引300多万次转发，而最终这名幸运儿就是微博网友@信小呆，网友纷纷跑到信小呆微博下吸好运
咱也不知道 咱也不敢问,2019,摘要： 咱也不知道 咱也不敢问的来源和意思在遇到无法理解的现象或事物时使用的万能疑问句，也可能是自问自答或明知故问时的调侃用语。在各类社区中都是常见的热门内容。根据语境有极多解释方式。例如：1.我不好意思问（但
决定减产,2019,摘要： 决定减产的来源和意思全句是：袁隆平：决定减产。意思是：还是吃的太饱了才能做出这么闲、这么无聊的行为。主要表示对一些行为的调侃和不解。因为袁隆平发明了杂交水稻，大大提高了中国粮食的产量，解决了我国的温饱问
齿间上的世界杯,2014,摘要： 对于舌尖上的中国，大家都很熟悉，那么什么是齿间上的世界杯呢？
双标,2020,摘要： 双标的来源和意思指的是对待不同的人，有着不同的标准，可以是我和你，也可以是他和他，比如要求别人不可以随地大小便，看到这种现象的时候他会喷别人，但是他自己却也经常这么干。简而言之，就是双重标准，通常我们称
平成废物,2019,摘要： 平成废物的来源和意思指日本平成年代的年轻人。他们多沉迷网络和二次元，是资深宅男/女，没有上进心且软弱无能，对现实漠不关心，是不折不扣的废柴。他们信奉“逃避可耻但有用”，拒绝融入现代竞争社会，是无法被寄予
口红及格线,2019,摘要： 口红及格线的来源和意思口红及格线指的是消费者 1 年内购买口红的标准。口红是最简单提升精神和气色的道具，是美妆中的核心力量。口红作为线上美妆第一单品，成为了美妆品类销量 topl 。数据统计显示，消费者
阿中,2019,摘要： 阿中的来源和意思拥有14亿真实粉丝的明星——中国。中国饭圈女孩对她们共同的偶像中国的爱称。饭圈女孩称男性爱豆为哥哥，为了维护自家哥哥经常对撕互掐。近日明星纷纷在海外社交平台发言“支持香港警察”，却遭到了
西瓜女,2019,摘要： 西瓜女的来源和意思长的很壮士，其实是萌妹，越熟越甜西瓜女的使用例句西瓜女的英文翻译
云监工,2020,摘要： 云监工的来源和意思指一群观看武汉火神山、雷神山疫情防控医院建工的网友们。闲疯帝的的职业名称为了缓解医疗资源紧张的问题，武汉从1.23号到现在准备建立两所临时医院，为此今日中央开设了疫情24小时直播栏目，
痴汉,2014,"摘要： 把镜子放在电车地板上，利用反射原理偷看女生裙底,巨屌的痴汉啊"
臭弟弟/臭妹妹,2020,摘要： 臭弟弟/臭妹妹的来源和意思臭妹妹一词在不同语境下有不同意思，在网络语境中是一种撩妹的称呼，是有一点暧昧撒娇语气在的。臭妹妹这个词最早出自药水哥直播，因抖音用户“冲浪男孩”，一张嘴就是让“臭妹妹抱抱”等话
尼玛,2014,摘要： 我们在空间里经常看见有人发说说带着尼玛这两个字，一看就知道是受了气了，但是不是我们这个年代的人就有点晕头转向了，下面含义网小编带您一起了解一下尼玛的含义吧！
翔,2017,"摘要： 狗改不了吃屎,日本人改不了吃翔啊"
四字国骂,2019,摘要： 四字国骂的来源和意思即我国四个字的、被大家普遍知道的骂人的话。比如：草你麻痹cnmb！！2019年8月16号，在网络上有人发布了一段在南澳洲大学内，大陆留学生与香港废青的冲突片段。在视频中，一香港废青女
睡后收入,2018,摘要： 睡后收入是指睡一觉醒来就有的收入，什么都不用做，钱就自动进你口袋了，有些人就是躺着睡觉到能赚钱
三喵军团,2014,摘要： 输给乌拉圭队之后，英格兰队走到了被淘汰的边缘。有的球迷认为，英格兰队的低迷表现，配不上“三狮军团”的称号，“说是三只猫还差不多。”于是很快，就有人制作了恶搞图片，将英格兰队队徽上的三只狮子改成了三只猫，
草包,2014,摘要： 你y的啥都不会，真是个草包啊
残念,2014,摘要： 难得有时间想玩游戏爽一把，却停电了，真是残念啊
塞铁,2019,摘要： 塞铁的来源和意思据外网某些小道消息透露是香港示威游行分子废青（黑衣人）的团队之一；塞铁就是主要负责专门去搞地铁的，之前7月份有好多堵地铁时间不让群众坐地铁的事。塞铁
从小聪明,2021,摘要： 从小聪明的来源和意思这个词，以前的含义更多的是长辈对于小辈的一种高度评价与赞美。但是现在这个词赋予了新的意思，用于嘲讽的意思，表示嘲讽某某某耍小聪明，同时也有表示同意认可的意思，具体含义得根据语境分析，
阴间小号,2020,摘要： 阴间小号的来源和意思指没人在使用，专用来刷数据（打榜，投票，点赞，评论，转发某些明星微博）的水军号。一般是水军公司或者明星公司的号，很多直播间也会挂很多阴间小号，实现人气的增加，也叫协议号。通常会注册很
小鸟伏特加,2020,摘要： 小鸟伏特加的来源和意思这是抖音上一个名叫“新二的快乐生活”的网红给他自己配置的饮料起的名字。新二的快乐生活经常会发布一些模仿俄罗斯人吃饭喝酒的视频，视频中能看到他拿出一个15L的大水桶，里面装着他自制的
基本款女孩,2019,摘要： 每次想换新造型都是乘兴而来败兴而归。看人家扎个丸子头觉得清新可爱，自己扎完就感觉是道士下山；想变装&nbsp;chockek女孩，系上后发现加个铃铛就是哆啦A梦。一次又一次，在笑中带泪中觉悟：fine，
太监,2014,摘要： 太监这个词我们并不陌生，但是单纯的汉纸和网虫们的理解肯定不在一个点上，下面含义网为您介绍太监的更多含义。
打卡,2019,摘要： 打卡的来源和意思1) 原指上下班时刷卡记录考勤。2) 现多指自我监督，完成某个特定目标后进行记录。英语，运动打卡多指此条。3) 也指到了某个地方或拥有某个事物(一般会向他人展示)。网红、圣地打卡多指此条
卖赞,2014,"摘要： “点赞送景区门票、旅游券”,“集齐20个赞送优惠券……”眼下，网民们对“赞”有着越来越强烈的需求，已经滋生了一条成熟的专业刷赞和卖赞流水线。这些“赞”究竟是如何刷出来的？利润究竟有多高？"
屠榜,2019,摘要： 屠榜的来源和意思艺人的新作品斩获了各大榜单，排名都在榜首，或者表示其作品占了榜单中的大多数。这个词语最早出现于网络游戏中，指玩家战胜了排行榜上的其他的玩家成为了榜首，现在也广泛用于各类榜单中，如在歌曲，
VTuber,2019,摘要： VTuber的来源和意思由 Virtual YouTuber 缩写而成的新词汇。用来指代在某视频网站上，用原创的虚拟人物人设为形象，以特定的配音演员（中之人，一般会隐藏身份，也有使用电子合成声的存在）进
点赞之交,2014,摘要： 点赞是当下最流行的一种挺朋友的行为方式，不管是发了什么动态、照片之类的，都在下面点个赞。那“点赞之交”是什么意思呢？
打球太蔡,2019,摘要： 打球太蔡的来源和意思指某人不仅打篮球的水平很烂，而且装模作样，令旁人尴尬。是你打球像蔡徐坤的衍生梗。起因于明星蔡徐坤发布花式玩篮球视频后，因动作违和感强烈，又强行融合尬舞，被众多篮球爱好者嘲讽，衍生出了
一剧两星,2014,摘要： 广电总局将于近日公布播出新政，执行了实行10年的“4+X”政策将退出电视剧舞台，而取代它的将是“一剧两星”的政策。
牛逼,2015,摘要： 牛逼的人简称牛人
拼妈风,2014,摘要： 目前，拼妈风在中国有孩子的年轻家庭中愈演愈烈：替孩子做手工作业、带孩子参加各种培训班、组织同学间的聚会，甚至帮老师发表论文……当这些成为妈妈们竞争比拼的选项时，她们该如何自处并给孩子营造一个健康成长的环
你怎么穿品如的衣服,2019,摘要： 意思是说:你好骚啊
1450,2019,摘要： 1450的来源和意思现在已经成为台湾网络水军的代名词。台湾“农委会”今年编列1450万元新台币预算对外招标，以每月4万元以上薪资，招募至少四人在网络论坛等社交平台进行讯息实时澄清等工作。该一举动引起网友
砍手岩,2020,摘要： 砍手岩的来源和意思出自游戏Minecraft（简称MC，中国大陆译名：我的世界；台湾译名：当个创世神）的梗，属于该游戏的元老级梗之一。Minecraft是瑞典公司的游戏，由于早期中国大陆没有中文译版，也
原生态食材,2014,摘要： 自从《舌尖上的中国2》播出之后，引发人们对“原生态食材”的热捧，什么深山野蜂蜜制成的酥油蜂蜜等等，而且还带动了一些地区“原生态”食品的购物热潮。
忽悠,2014,摘要： 忽悠是什么意思　　释义：忽悠的意思：1．一种飘忽不定的状况或心态。 2．北方一带的俗话。忽悠的本字是“胡诱”，胡乱诱导的意思。即是使用言语，巧设圈套引人上勾。叫人上当，使期望失败。忽悠的由来　忽悠有“胡
土肥圆,2017,"摘要： 土肥圆的来源和意思&nbsp;&nbsp;土肥圆&nbsp; 很形象的词啊,土就是衣着或气质土,肥圆就是体型胖.&nbsp; 那么土肥圆就是相貌不佳,体型肥胖的人罗,通常用于指女孩子.&nbsp; 与该"
子弹滞销,2019,摘要： 子弹滞销的来源和意思其完整表达是“子弹滞销，帮帮我们”。在使用时表达“你（因为你的行为或发言）要被枪毙了”。该梗原本来自一张图片：一农村老大爷表情愁苦，他的身后是大量堆积成山的水果或蔬菜。图片通常有配文
奥斯卡颁奖大乌龙,2017,摘要： 第89届奥斯卡金像奖于2017年2月26日举行，小李的陪跑梗去年就已经终结了，今天的奥斯卡却又出现了一个史上最大的“奥斯卡颁奖大乌龙”梗，关于“奥斯卡颁奖大乌龙”是什么梗，一起来看看吧
打球太蔡,2019,摘要： 打球太蔡的来源和意思指某人不仅打篮球的水平很烂，而且装模作样，令旁人尴尬。是你打球像蔡徐坤的衍生梗。起因于明星蔡徐坤发布花式玩篮球视频后，因动作违和感强烈，又强行融合尬舞，被众多篮球爱好者嘲讽，衍生出了
鼠吧啦夕,2020,摘要： 鼠吧啦夕的来源和意思读音接近于斯巴拉西，而且2020年还是中国鼠年，就表达出这样的新春祝福??“祝您新的一年鼠吧啦夕~”就是祝福新的一年生活会非常精彩会非常棒这样的意思，注意是意思哟，不代表翻译哟(虽然
姐贵,2014,"摘要： 俺姐贵俺自豪,女士肌肉发达蛮可爱的哦"
电影,2020,"摘要： 每天都要看电影,那就是网课"
露露王,2019,摘要： 露露王的来源和意思露露王指的是电棍otto。露露是英雄联盟LOL中的一名偏辅助型英雄，全名仙灵女巫，因为其技能特性清线和辅助能力比较强，可以用来打中单玩四保一，但因为单杀能力弱，所以比较考验队友能力，简
我可能XX了假XX,2017,摘要： “我可能上了个假班”、“我可能读了个假大学”、“我可能吃的是假饭”……
野味肺炎,2020,摘要： 野味肺炎的来源和意思指这次的武汉新型冠状病毒肺炎疫情，疫情的源头为吃野味而感染病毒爆发的肺炎。来源：源自微博博主@萨尔茨堡的鱼不要吃野味了！这钱去买排骨，它不香吗？？？会得肺炎吗？？野味肺炎
挽尊,2017,摘要： 挽尊的来源和意思挽尊真是一个令人蛋疼的词啊。&nbsp; &nbsp;意思还是蛮简单的，就是“挽救尊严”的缩写啦。通常用于论坛中，当楼主发完帖子后，长时间没有人回复（也就是楼主应该感觉很没有面子，没有尊
美刀,2015,"摘要： 账户里老是几千几千美刀的,真令人羡慕哦"
咖喱人,2019,摘要： 咖喱人的来源和意思“家里人”的不标准普通话表达。通常用于语气非常不友好或辱骂的情况，常见连句是“咖喱人不要了？”意为家里人不要了，咒骂对方全家。可能来源于山泥若的疼痒话，也可能来自6324。因为双方粉丝
金身定穴,2018,摘要： 金身定穴的来源和意思金身定穴这个流行语来源于英雄联盟和手游王者荣耀等moba游戏之中，游戏里有一个装备可以让自己金身几秒钟的，金身期间无法移动，也不能攻击别人，同时别人也无法攻击你，相当于你定住了几秒，
也是蛮拼的,2019,摘要： 也是蛮拼的的来源和意思指做某事时的努力程度超乎常理，使旁人产生了异样的敬畏之情。根据语境不同，有时表达对他人努力的肯定，有时则表达对他人异常行为的嘲讽和不解。需要根据前后内容和说话者语气进行判断。例如某
421,2020,摘要： 指流传于网络上的一份421页的明星八卦文档，因为该文档有421页，于是用421来指代该文档，显得也更为神奇一些。
857,2020,摘要： 857的来源和意思指的是蹦迪的意思，来源于蹦迪神曲-《bow chi bow》和《feel my bass》副歌里面的空耳，如果你经常混迹于酒吧场所，那么你肯定马上就明白了。该梗最近火爆，主要来源于一个
床底料,2020,摘要： 是指好像是趴在别人床底下听到看到一样的爆料。其实范围不是特别明确，一般指与性相关的或者发生在明星自己房间里的事情。
位面之子,2019,摘要： 位面之子的来源和意思运气爆棚的大人物。运气太好，就像是受到整个宇宙的眷顾，类似天选之人。位面是“一个独立宇宙”的意思。这个是科幻小说的一种说法，众所周知，电视剧《庆余年》是科幻片。《庆余年》的主角范闲就
感冒,2014,摘要： 我对他不感冒
股下三角,2014,摘要： 股下三角--岛国(也就是日本)的又一邪恶的发明
浮云,2014,摘要： 神马都是浮云(everything is nothing)
BF,2014,摘要： bf就是男朋友的意思
索狗,2019,摘要： 索狗的来源和意思对索尼脑残粉的蔑称。索狗热衷于无脑喷其他品牌，因此被其他品牌粉丝称为“会说人话的狗”与之相对应的是“任豚”，对任天堂粉丝的蔑称。因为日语里任天堂（Nintendo）的“ten”读音很像“
蹲闲鱼,2019,摘要： 蹲闲鱼的来源和意思一项可以匹敌马拉松的体力活。用来形容许多人抢不到自已喜欢的玩具、汉服、Lo裙、明星周边等宝贝，只能在闲鱼默默蹲守，等待有人转让，并不定期给自己打鸡血：一定可以蹲到！这过程像极了等待爱情
VTuber,2019,摘要： VTuber的来源和意思由 Virtual YouTuber 缩写而成的新词汇。用来指代在某视频网站上，用原创的虚拟人物人设为形象，以特定的配音演员（中之人，一般会隐藏身份，也有使用电子合成声的存在）进
高地保安,2020,摘要： 高地保安的来源和意思指王者荣耀英雄李信缘故是网上流传了很多很多所谓的李信天秀视频，其中大多数都是在高地打的，比如李信在己方高度演出一个四杀五杀，看起来很秀的样子，实际上还是被推上高地。用于讽刺那些演员视
我们白着呢,2019,摘要： 我们白着呢的来源和意思我们皮肤很白呢，才不是“黑皮肤”的人哦。出自浙江卫视的亲子综艺节目《爸爸回来了》中，贾乃亮的女儿贾云馨（甜馨）的经典语录。甜馨一家人在一起吃饭，聊到了谁长得比较黑，甜馨的爷爷故意对
拎的清,2019,摘要： 指能分清手里拎的什么垃圾的上海人
驰名双标,2020,摘要： 驰名双标的来源和意思双标，指的是双重标准，对别人有这样到要求，到自己身上就不是那么回事了，形容那种喜欢要求别人怎样怎样，自己却做不到，或者只要求谁这样做，对别人就没有这种过分要求的人，而这里使用“驰名双
嫩模,2015,"摘要： 嫩模的来源和意思嫩模是香港的新兴名词。&nbsp; 顾名思义就是“嫩的模特”啰，可以认为就是小女孩模特。通常她们不是传统意义上的模特，她们没受过正统训练，年纪很小，通常只有十四五岁，卖点是年轻"
豌豆公主,2020,摘要： 豌豆公主的来源和意思豌豆公主病，是指像安徒生童话里的豌豆公主（几十层床垫下放了一颗豌豆都能感觉到不舒服）一样，满身都是不可理喻的公主病。豌豆公主病的由来，要从豌豆公主的故事说起。豌豆公主一词是出自安徒生
软饭,2015,摘要： 鸭梨山大啊，俺想吃软饭
拖拉机式努力,2019,摘要： 拖拉机式努力的来源和意思指想要很努力做一件事，但像拖拉机一样准备上半天，口号喊得高，做了一点点又马上放弃了。原文是“别人想干啥，就像迈巴赫一样，蹭的一下就出去干了。我准备干个啥，像拖拉机一样，手动摇半天
大王好短,2020,摘要： 大王好短的来源和意思用于感叹国漫大王不高兴每集时长过短。不止是大王不高兴，大部分国漫的通病特点就是时长短，一集大概7分钟的样子。出去OP和ED，正片大概就5分钟的样子。相比日漫的24分钟显得太短。（然而
你喜欢大海 我爱过你,2018,摘要： 阚清子与纪凌尘这对曾经的恋人，为何会演变成一个喜欢大海，一个喜欢浪的，流行语百科带你解读
救我,2020,摘要： 继续下去万事如意且行且珍惜啥意思
鲸落,2019,摘要： 鲸落的来源和意思原指鲸鱼死亡后落到海底，身上自成一个小生态系统，这个以鲸鱼为根基的群落就叫鲸落当然我知道你们想找的不是这个鲸落对应的情侣名是鲨掉沙雕，因此常常被用来恶搞。除此之外，还有鲸落南北，猫南北等
剁手党,2021,摘要： 剁手党的来源和意思形容那些沉迷于网络购物而无法自拔的人，就是喜欢买东西，因此经常买了一堆用不到的东西放在家里，就享受购物的乐趣，经常喊着再买就剁手，结果还是继续shoping，通常指的是购物成瘾的人，一
友尽赛,2018,摘要： 友尽赛的来源和意思北京时间2018年7月15日凌晨，英超埃弗顿和奥地利球队厄尔德宁进行了一场友谊塞，一场似乎无关紧要的联赛前的训练热身赛却踢出了惊人的比分22-0！平均四分钟就一个进球！逼的奥地利球队的
表演型孝子,2020,摘要： 表演型孝子的来源和意思指没有在平时付出时间心血，通过在某些场合对旁人大吼大叫命令威胁表达孝顺的伪孝子。比如长辈生病了他去医闹，恨不得拿枪指着护士，觉得这就是付出了，其实是一种不负责任，无成本的孝顺。这种
🐂🍺或🐮🍺,2020,摘要： ?/?&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;?&nbsp;&nbsp;&nbsp;&nbsp;牛&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
开局一张图，内容全靠编,2018,摘要： 开局一张图，内容全靠编，本小编却不是这样的哦，一直本着实事求是的原则，给大家带来最精准的流行语解释，希望给个赞
双飞,2015,摘要： 两女一男同住一室?不会是双飞吧?
经济适用男,2014,"摘要： 六成女性要找经济适用男,看了俺不愁娶不到老婆了哦也"
川建国,2020,摘要： 是中国网友给美国总统特朗普起的一个中国名字。用于形容特朗普对中国的建设性作用，由于特朗普经常搞一些愚蠢和无厘头的举措，常常非但不利其本国的方法，反而帮了中国一把
打蝴蝶,2014,"摘要： 本人熟悉各种按摩手法,尤其擅长打蝴蝶"
我支持香港警察，你们可以打我了,2019,摘要： 我支持香港警察，你们可以打我了的来源和意思这是一名身在香港的环球新闻记者付国豪面对港独*分子的群围、捆绑、扣押时所说的话。话音刚落，付国豪被*分子群殴，但他依旧淡定自若、神不改色的面对这一切，直到有人来
狗血,2014,"摘要： 剧情很狗血,不过很耐看"
32个赞,2014,摘要： 我们知道，“点赞”为一网络言语，来源于各大网络社区的“赞”功能。如今，除了点赞一词外，还引申出了点赞党、点赞之交等新词，然而，在点赞前面加上一个数字的最新词——32个赞是什么意思，你知道吗？
放大招,2017,"摘要： 放大招，请接招！放大招，请使用最新版本手机qq查看！"
苏卡不列,2020,摘要： 苏卡不列的来源和意思该词来源于俄语“Сука блядь”的音译。俄罗斯国骂，大意为“狗娘养的”，在俄罗斯经常可以听到用这句话来骂人。блядь原意为女性性工作者、下贱的女人，Сука原意为母狗、坏蛋。
